timestamp,region,instance_type,price_usd,availability_zone
2025-03-19T18:17:52+00:00,us-east-1,t3.small,0.0068,us-east-1a
2025-03-19T16:32:52+00:00,us-east-1,t3.small,0.0065,us-east-1c
2025-03-19T15:17:20+00:00,us-east-1,t3.small,0.0064,us-east-1d
2025-03-19T14:32:48+00:00,us-east-1,t3.small,0.0067,us-east-1b
2025-03-19T14:17:49+00:00,us-east-1,t3.small,0.0069,us-east-1a
2025-03-19T12:47:22+00:00,us-east-1,t3.small,0.006,us-east-1f
2025-03-19T09:47:21+00:00,us-east-1,t3.small,0.0064,us-east-1c
2025-03-19T03:47:20+00:00,us-east-1,t3.small,0.0059,us-east-1f
2025-03-18T23:02:18+00:00,us-east-1,t3.small,0.0065,us-east-1c
2025-03-18T22:47:30+00:00,us-east-1,t3.small,0.006,us-east-1f
2025-03-18T15:17:19+00:00,us-east-1,t3.small,0.0064,us-east-1d
2025-03-18T14:32:47+00:00,us-east-1,t3.small,0.0067,us-east-1b
2025-03-18T14:17:47+00:00,us-east-1,t3.small,0.0069,us-east-1a
2025-03-17T23:02:17+00:00,us-east-1,t3.small,0.0065,us-east-1c
2025-03-17T22:47:29+00:00,us-east-1,t3.small,0.006,us-east-1f
2025-03-19T17:47:21+00:00,us-east-1,t3.medium,0.0164,us-east-1d
2025-03-19T12:32:53+00:00,us-east-1,t3.medium,0.0162,us-east-1d
2025-03-19T11:32:21+00:00,us-east-1,t3.medium,0.0174,us-east-1c
2025-03-19T11:02:53+00:00,us-east-1,t3.medium,0.0166,us-east-1f
2025-03-19T10:34:52+00:00,us-east-1,t3.medium,0.019,us-east-1b
2025-03-19T04:32:51+00:00,us-east-1,t3.medium,0.0164,us-east-1d
2025-03-19T03:02:22+00:00,us-east-1,t3.medium,0.0173,us-east-1c
2025-03-19T00:32:21+00:00,us-east-1,t3.medium,0.0159,us-east-1a
2025-03-18T22:34:51+00:00,us-east-1,t3.medium,0.0163,us-east-1d
2025-03-18T22:17:23+00:00,us-east-1,t3.medium,0.0189,us-east-1b
2025-03-18T20:47:33+00:00,us-east-1,t3.medium,0.0157,us-east-1a
2025-03-18T20:47:28+00:00,us-east-1,t3.medium,0.0188,us-east-1b
2025-03-18T17:17:27+00:00,us-east-1,t3.medium,0.0164,us-east-1d
2025-03-18T14:17:56+00:00,us-east-1,t3.medium,0.0171,us-east-1c
2025-03-18T13:17:56+00:00,us-east-1,t3.medium,0.0165,us-east-1f
2025-03-18T06:47:57+00:00,us-east-1,t3.medium,0.0158,us-east-1a
2025-03-17T20:47:26+00:00,us-east-1,t3.medium,0.0188,us-east-1b
2025-03-19T18:17:31+00:00,us-east-1,t3.large,0.0296,us-east-1a
2025-03-19T17:17:31+00:00,us-east-1,t3.large,0.029,us-east-1c
2025-03-19T17:17:31+00:00,us-east-1,t3.large,0.0357,us-east-1b
2025-03-19T17:02:35+00:00,us-east-1,t3.large,0.027,us-east-1d
