timestamp,cloud,region,latency_ms,success
2025-03-19T18:21:51.940760,AWS,us-east-1,338.99561564127606,True
2025-03-19T18:21:51.940760,AWS,us-east-2,371.9971974690755,True
2025-03-19T18:21:51.940760,AWS,us-west-1,538.7983322143555,True
2025-03-19T18:21:51.940760,AWS,us-west-2,543.9667701721191,True
2025-03-19T18:21:51.940760,AWS,eu-west-1,145.0162728627523,True
2025-03-19T18:21:51.940760,AWS,eu-west-2,100.02613067626953,True
2025-03-19T18:21:51.940760,AWS,eu-central-1,61.81557973225912,True
2025-03-19T18:21:51.940760,AWS,ap-southeast-1,719.6478048960367,True
2025-03-19T18:21:51.940760,AWS,ap-southeast-2,943.3573087056478,True
2025-03-19T18:21:51.940760,AWS,ap-northeast-1,741.0287062327067,True
2025-03-19T18:21:51.940760,AWS,ap-south-1,453.7057876586914,True
2025-03-19T18:21:51.940760,AWS,sa-east-1,692.085345586141,True
2025-03-19T18:21:51.940760,GCP,us-central1,199.40797487894693,True
2025-03-19T18:21:51.940760,GCP,us-east1,173.1717586517334,True
2025-03-19T18:21:51.940760,GCP,us-west1,216.21116002400717,True
2025-03-19T18:21:51.940760,GCP,europe-west1,81.45991961161296,True
2025-03-19T18:21:51.940760,GCP,europe-west2,85.44985453287761,True
2025-03-19T18:21:51.940760,GCP,asia-east1,597.5550810496012,True
2025-03-19T18:21:51.940760,GCP,asia-northeast1,381.61365191141766,True
2025-03-19T18:21:51.940760,GCP,asia-southeast1,384.0909004211426,True
2025-03-19T18:21:51.940760,GCP,asia-south1,795.0103282928467,True
2025-03-19T18:23:50.747862,AWS,us-east-1,331.5950234731038,True
2025-03-19T18:23:50.747862,AWS,us-east-2,357.51088460286456,True
2025-03-19T18:23:50.747862,AWS,us-west-1,543.1532065073649,True
2025-03-19T18:23:50.747862,AWS,us-west-2,567.9972171783447,True
2025-03-19T18:23:50.747862,AWS,eu-west-1,137.0216210683187,True
2025-03-19T18:23:50.747862,AWS,eu-west-2,108.89387130737305,True
2025-03-19T18:23:50.747862,AWS,eu-central-1,58.40055147806803,True
2025-03-19T18:23:50.747862,AWS,ap-southeast-1,695.9736347198486,True
2025-03-19T18:23:50.747862,AWS,ap-southeast-2,955.4789066314697,True
